Plant bioelectric data log. Project: Setup
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:48:40:184952', 74.9308)"
"('13:48:41:447013', 62.7822)"
"('13:48:42:707896', 73.8058)"
"('13:48:43:966514', 75.3293)"
"('13:48:45:222002', 73.6496)"
"('13:48:46:483853', 72.5949)"
"('13:48:47:741073', 60.6884)"
"('13:48:48:996435', 72.3761)"
"('13:48:50:251988', 74.423)"
Plant bioelectric data log. Project: Setup
R0-2020-04-30.csv
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('13:51:31:961300', 87.6576)"
"('13:51:33:221923', 84.5091)"
Plant bioelectric data log. Project: Setup
R0-2020-04-30.csv
Gain: 16
Volts per division: 0.007812619211108568
Data rate: 8
Sleep: 1
Time                 Value in mV
"('16:23:32:694262', 71.7042)"
"('16:23:33:948925', 69.2198)"
"('16:23:35:203427', 68.2745)"
"('16:23:36:459059', 67.5167)"
"('16:23:37:714185', 55.6337)"
"('16:23:38:968671', 64.8994)"
"('16:23:40:223253', 65.7432)"
"('16:23:41:478747', 65.9619)"
"('16:23:42:736616', 54.8133)"
"('16:23:43:992008', 53.2039)"
"('16:23:45:247480', 52.3992)"
"('16:23:46:505095', 52.0477)"
"('16:23:47:762375', 51.7195)"
"('16:23:49:017159', 61.7353)"
"('16:23:50:272176', 63.1885)"
"('16:23:51:527987', 60.6337)"
"('16:23:52:782877', 47.9148)"
"('16:23:54:037466', 60.2822)"
"('16:23:55:292432', 62.3916)"
"('16:23:56:549358', 52.4774)"
"('16:23:57:803959', 61.6806)"
"('16:23:59:058718', 62.9853)"
"('16:24:00:313686', 63.4775)"
"('16:24:01:568981', 52.6883)"
